Regiao,Ano,Quantidade,Tipo_Crime
Gama,2021,37,Roubo em Comércio
Gama,2021,7,Roubo em Transporte Coletivo
Gama,2022,295,Furto em Veículo
Gama,2022,6,Homicídio
Gama,2022,0,LCSM (Lesão Corporal Seguida de Morte)
Gama,2022,0,Latrocínio
Gama,2022,706,Roubo a Transeunte
Gama,2022,93,Roubo de Veículo
Gama,2022,29,Roubo em Comércio
Gama,2022,10,Roubo em Transporte Coletivo
Gama,2023,309,Furto em Veículo
Gama,2023,8,Homicídio
Gama,2023,1,LCSM (Lesão Corporal Seguida de Morte)
Gama,2023,0,Latrocínio
Gama,2023,613,Roubo a Transeunte
Gama,2023,55,Roubo de Veículo
Gama,2023,24,Roubo em Comércio
Gama,2023,11,Roubo em Transporte Coletivo
